"dataset_code","time","geo","value","unit","obs_status","method","freq"
"ind_never_use_internet",2015-01-01,"PT",28,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"RO",32,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"RS",31,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"SE",5,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"SI",22,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"SK",16,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"TR",44,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"UK",6,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"ME",29.2,"PC_IND","A","approx","A"
"ind_never_use_internet",2015-01-01,"CH",6.66666666666667,"PC_IND","A","approx","A"
"ind_never_use_internet",2015-01-01,"XK",13,"PC_IND","A","nocb","A"
"ind_never_use_internet",2015-01-01,"AL",33,"PC_IND","A","nocb","A"
"ind_never_use_internet",2015-01-01,"BA",24,"PC_IND","A","nocb","A"
"ind_never_use_internet",2016-01-01,"AT",13,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"BE",11,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"BG",33,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"CY",23,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"CZ",13,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"DE",8,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"DK",2,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"EA",14,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"EE",10,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"EL",28,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"ES",17,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"EU27_2007",14,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"EU27_2020",16,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"EU28",14,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"FI",4,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"FR",10,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"HR",23,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"HU",19,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"IE",15,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"IS",1,"PC_IND","A","approx","A"
"ind_never_use_internet",2016-01-01,"IT",25,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"LT",22,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"LU",2,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"LV",17,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"MK",23,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"MT",21,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"NL",5,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"NO",2,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"PL",22,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"PT",26,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"RO",30,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"RS",28.5,"PC_IND","A","approx","A"
"ind_never_use_internet",2016-01-01,"SE",3,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"SI",22,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"SK",15,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"TR",39,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"UK",4,"PC_IND","A","A","A"
"ind_never_use_internet",2016-01-01,"ME",26.6,"PC_IND","A","approx","A"
"ind_never_use_internet",2016-01-01,"CH",5.33333333333333,"PC_IND","A","approx","A"
"ind_never_use_internet",2016-01-01,"XK",13,"PC_IND","A","nocb","A"
"ind_never_use_internet",2016-01-01,"AL",33,"PC_IND","A","nocb","A"
"ind_never_use_internet",2016-01-01,"BA",24,"PC_IND","A","nocb","A"
"ind_never_use_internet",2017-01-01,"AT",10,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"BE",10,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"BG",30,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"CY",18,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"CZ",11,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"DE",7,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"DK",2,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"EA",13,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"EE",9,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"EL",28,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"ES",14,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"EU27_2007",13,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"EU27_2020",14,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"EU28",13,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"FI",5,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"FR",10,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"HR",28,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"HU",17,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"IE",16,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"IS",1,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"IT",22,"PC_IND","A","A","A"
"ind_never_use_internet",2017-01-01,"LT",19,"PC_IND","A","A","A"
